variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,distance,euclidean,-0.47643924,0.05349221
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,distance,manhattan,-0.48300941,0.06415029
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,distance,chebyshev,-0.49217032,0.06364926
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,uniform,euclidean,-0.48252999,0.05646667
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,uniform,manhattan,-0.48648663,0.06140779
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,uniform,chebyshev,-0.49126649,0.06229443
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,distance,euclidean,-0.48150806,0.0554864
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,distance,manhattan,-0.48606413,0.06144724
dwi_sin,KNeighborsRegressor,20,None,RobustScaler,distance,chebyshev,-0.49056587,0.06245351
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,uniform,euclidean,-0.47888877,0.05743845
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,uniform,manhattan,-0.48435273,0.06120838
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,uniform,chebyshev,-0.48873242,0.06193995
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,distance,euclidean,-0.47775953,0.05668226
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,distance,manhattan,-0.48364218,0.06142121
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),None,distance,chebyshev,-0.48768962,0.06234595
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.54562846,0.04346917
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.51303556,0.06180426
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.52851639,0.06977654
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.54136464,0.04360442
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.5109553,0.06175485
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.52583473,0.07023218
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.54771143,0.04439316
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.51091809,0.06259117
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.52666919,0.06778952
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.54307616,0.04431002
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.50860289,0.0624117
dwi_sin,KNeighborsRegressor,20,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.52380177,0.06830179
dwi_sin,KNeighborsRegressor,25,None,None,uniform,euclidean,-0.48232151,0.0544254
dwi_sin,KNeighborsRegressor,25,None,None,uniform,manhattan,-0.48652689,0.06146802
