variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
wind_max,500,20.0,2,4,log2,-2.32978255,0.36672446,RandomForestRegressor
wind_max,500,20.0,10,1,sqrt,-2.33122441,0.3675295,RandomForestRegressor
wind_max,500,20.0,10,1,log2,-2.33496042,0.36264333,RandomForestRegressor
wind_max,500,20.0,10,4,sqrt,-2.32696385,0.36181939,RandomForestRegressor
wind_max,500,20.0,10,4,log2,-2.32323079,0.36004797,RandomForestRegressor
wind_max,600,None,2,1,sqrt,-2.32663515,0.36359965,RandomForestRegressor
wind_max,600,None,2,1,log2,-2.3242755,0.36152604,RandomForestRegressor
wind_max,600,None,2,4,sqrt,-2.32739744,0.36477546,RandomForestRegressor
wind_max,600,None,2,4,log2,-2.32821266,0.36370716,RandomForestRegressor
wind_max,600,None,10,1,sqrt,-2.32264415,0.37177625,RandomForestRegressor
wind_max,600,None,10,1,log2,-2.3210293,0.36628842,RandomForestRegressor
wind_max,600,None,10,4,sqrt,-2.32248219,0.37632132,RandomForestRegressor
wind_max,600,None,10,4,log2,-2.32760101,0.36970974,RandomForestRegressor
wind_max,600,20.0,2,1,sqrt,-2.32539982,0.36993727,RandomForestRegressor
wind_max,600,20.0,2,1,log2,-2.32467287,0.3724582,RandomForestRegressor
wind_max,600,20.0,2,4,sqrt,-2.3246144,0.36381632,RandomForestRegressor
wind_max,600,20.0,2,4,log2,-2.32048738,0.36520766,RandomForestRegressor
wind_max,600,20.0,10,1,sqrt,-2.32007311,0.36498511,RandomForestRegressor
wind_max,600,20.0,10,1,log2,-2.31888176,0.36234491,RandomForestRegressor
wind_max,600,20.0,10,4,sqrt,-2.31674932,0.36315476,RandomForestRegressor
wind_max,600,20.0,10,4,log2,-2.32842902,0.36347272,RandomForestRegressor
wind_med,100,None,2,1,sqrt,-2.03633677,0.3962907,RandomForestRegressor
wind_med,100,None,2,1,log2,-2.03022231,0.39310421,RandomForestRegressor
wind_med,100,None,2,4,sqrt,-2.02746489,0.39028902,RandomForestRegressor
wind_med,100,None,2,4,log2,-2.03175604,0.38844864,RandomForestRegressor
wind_med,100,None,10,1,sqrt,-2.03422314,0.39201466,RandomForestRegressor
wind_med,100,None,10,1,log2,-2.03157692,0.39058747,RandomForestRegressor
wind_med,100,None,10,4,sqrt,-2.02161459,0.39526463,RandomForestRegressor
wind_med,100,None,10,4,log2,-2.02449344,0.39364107,RandomForestRegressor
wind_med,100,20.0,2,1,sqrt,-2.01700341,0.39874487,RandomForestRegressor
wind_med,100,20.0,2,1,log2,-2.03740515,0.39225411,RandomForestRegressor
wind_med,100,20.0,2,4,sqrt,-2.02246502,0.3961663,RandomForestRegressor
wind_med,100,20.0,2,4,log2,-2.01677524,0.39663277,RandomForestRegressor
wind_med,100,20.0,10,1,sqrt,-2.03664927,0.39741096,RandomForestRegressor
wind_med,100,20.0,10,1,log2,-2.02408571,0.39819898,RandomForestRegressor
wind_med,100,20.0,10,4,sqrt,-2.02383821,0.39833897,RandomForestRegressor
wind_med,100,20.0,10,4,log2,-2.03098472,0.38903344,RandomForestRegressor
wind_med,200,None,2,1,sqrt,-2.02326363,0.3967074,RandomForestRegressor
wind_med,200,None,2,1,log2,-2.02673663,0.39761624,RandomForestRegressor
wind_med,200,None,2,4,sqrt,-2.01299992,0.39815878,RandomForestRegressor
wind_med,200,None,2,4,log2,-2.01790856,0.40131404,RandomForestRegressor
wind_med,200,None,10,1,sqrt,-2.01381775,0.39864625,RandomForestRegressor
wind_med,200,None,10,1,log2,-2.02435198,0.40347823,RandomForestRegressor
wind_med,200,None,10,4,sqrt,-2.02238525,0.39960802,RandomForestRegressor
wind_med,200,None,10,4,log2,-2.01924528,0.39831854,RandomForestRegressor
wind_med,200,20.0,2,1,sqrt,-2.02865396,0.40006964,RandomForestRegressor
wind_med,200,20.0,2,1,log2,-2.03027375,0.38846058,RandomForestRegressor
wind_med,200,20.0,2,4,sqrt,-2.02879177,0.38969129,RandomForestRegressor
wind_med,200,20.0,2,4,log2,-2.03684134,0.39206382,RandomForestRegressor
wind_med,200,20.0,10,1,sqrt,-2.03304271,0.38923836,RandomForestRegressor
wind_med,200,20.0,10,1,log2,-2.02572225,0.3903145,RandomForestRegressor
wind_med,200,20.0,10,4,sqrt,-2.0317146,0.39393896,RandomForestRegressor
wind_med,200,20.0,10,4,log2,-2.01514905,0.3969088,RandomForestRegressor
wind_med,300,None,2,1,sqrt,-2.01989566,0.3915614,RandomForestRegressor
wind_med,300,None,2,1,log2,-2.02267093,0.39582514,RandomForestRegressor
wind_med,300,None,2,4,sqrt,-2.02686029,0.39160871,RandomForestRegressor
